Age,Gender,Education Level,Occupation,Political Affiliation,Geographic Location,Social Media Usage Frequency,Preferred Social Media,Political Content Exposure,Types of Political Content,Sources of Political Content,Recency of Exposure,Interactions Frequency,Political Content Topics,Perception of Accuracy,Awareness of Algorithms,Perception of Relevance,Personal Impact,Trust in Social Media,Concerns about Algorithms,Overall Quality of Discourse,Views on Influence,Suggestions for Improvement
62,Non-binary,Master's,Employed,Liberal,UK,2-4 hours,Instagram,Once a day,Opinion pieces,Political parties,Within the last 24 hours,Once a day,Healthcare,Somewhat accurate,No,Not relevant,Strong impact,Trust a lot,Somewhat concerned,Moderate quality,Very influential,Increase transparency
62,Non-binary,PhD,Unemployed,Conservative,Canada,0-1 hour,Twitter,Rarely,Opinion pieces,Mainstream media,Within the last 24 hours,Once a day,Environment,Not accurate,Yes,Very relevant,No impact,Trust somewhat,Not concerned,Low quality,Somewhat influential,Increase transparency
33,Male,PhD,Employed,Independent,UK,4+ hours,Instagram,Several times a day,Opinion pieces,Mainstream media,Within the last hour,Once a day,Immigration,Not accurate,Yes,Very relevant,Moderate impact,Trust somewhat,Somewhat concerned,High quality,Very influential,Increase transparency
70,Non-binary,PhD,Unemployed,Liberal,Canada,1-2 hours,Twitter,Few times a week,Memes,Political parties,Within the last week,Rarely,Immigration,Somewhat accurate,No,Not relevant,Strong impact,Trust somewhat,Not concerned,Low quality,Not influential,Enhance user controls
18,Non-binary,Bachelor's,Employed,Independent,UK,4+ hours,Twitter,Few times a week,Memes,Mainstream media,Within the last hour,Several times a day,Healthcare,Somewhat accurate,No,Somewhat relevant,No impact,Trust a lot,Somewhat concerned,Moderate quality,Very influential,Enhance user controls
46,Female,Master's,Employed,Independent,Australia,1-2 hours,Facebook,Several times a day,News articles,Independent bloggers,Within the last hour,Rarely,Environment,Not accurate,Yes,Not relevant,No impact,Trust somewhat,Very concerned,Moderate quality,Somewhat influential,Improve fact-checking
55,Non-binary,Bachelor's,Employed,Liberal,Canada,2-4 hours,Facebook,Once a day,Memes,Mainstream media,Within the last week,Once a day,Immigration,Somewhat accurate,Yes,Very relevant,No impact,Do not trust,Not concerned,Moderate quality,Very influential,Improve fact-checking
71,Male,PhD,Unemployed,Independent,Australia,1-2 hours,Twitter,Few times a week,News articles,Independent bloggers,Within the last week,Rarely,Healthcare,Very accurate,Yes,Somewhat relevant,No impact,Trust a lot,Very concerned,Low quality,Somewhat influential,Provide more diverse sources
65,Non-binary,Master's,Student,Independent,USA,1-2 hours,Twitter,Rarely,Opinion pieces,Mainstream media,Within the last week,Once a day,Environment,Somewhat accurate,No,Somewhat relevant,Moderate impact,Trust somewhat,Somewhat concerned,High quality,Very influential,Enhance user controls
66,Male,PhD,Student,Conservative,UK,2-4 hours,Facebook,Once a day,Memes,Mainstream media,Longer than a week ago,Once a day,Immigration,Very accurate,Yes,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,High quality,Somewhat influential,Increase transparency
19,Non-binary,PhD,Employed,Conservative,Australia,4+ hours,Instagram,Few times a week,News articles,Independent bloggers,Within the last hour,Several times a day,Immigration,Somewhat accurate,No,Somewhat relevant,No impact,Do not trust,Not concerned,Low quality,Not influential,Improve fact-checking
37,Female,High School,Unemployed,Independent,Australia,0-1 hour,Facebook,Rarely,Memes,Mainstream media,Within the last week,Few times a week,Economy,Not accurate,Yes,Very relevant,Strong impact,Trust somewhat,Not concerned,High quality,Somewhat influential,Improve fact-checking
66,Female,Bachelor's,Unemployed,Liberal,Canada,4+ hours,Twitter,Few times a week,News articles,Mainstream media,Within the last 24 hours,Several times a day,Environment,Very accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Somewhat concerned,High quality,Not influential,Improve fact-checking
21,Non-binary,PhD,Unemployed,Conservative,UK,2-4 hours,Facebook,Rarely,Memes,Mainstream media,Within the last hour,Few times a week,Healthcare,Very accurate,No,Very relevant,Moderate impact,Do not trust,Very concerned,High quality,Somewhat influential,Provide more diverse sources
